dataset,variant,seed,condition,group,abs_error,abs_truth,count,nmae,nrmse,sq_error,sq_truth
abilene,spin_direct,41001,uniform,boundary,104888171245.0,611483922608.0,85357,0.1715305462123163,0.21525826673600812,7.766463091358661e+17,1.6761141970898686e+19
abilene,spin_direct,41002,uniform,boundary,104456000109.0,611483922608.0,85357,0.17082378824203842,0.21785973812831466,7.955318269465484e+17,1.6761141970898686e+19
abilene,context_only,41001,uniform,boundary,106207417250.0,611483922608.0,85357,0.17368799623875916,0.2210212921299126,8.187886837416557e+17,1.6761141970898686e+19
abilene,context_only,41002,uniform,boundary,105534757534.0,611483922608.0,85357,0.17258795142788158,0.21851536482779846,8.003271757273322e+17,1.6761141970898686e+19
abilene,direct_only,41001,uniform,boundary,109110224951.0,611483922608.0,85357,0.1784351491788061,0.22466973001922214,8.460435746365064e+17,1.6761141970898686e+19
abilene,direct_only,41002,uniform,boundary,108842847440.5,611483922608.0,85357,0.1779978890962194,0.2238969214253429,8.402332214706277e+17,1.6761141970898686e+19
abilene,spin_direct,41001,uniform,internal,413379076307.5,2777003215444.0,386963,0.14885797539179552,0.20947733942492913,3.396718835304502e+18,7.740793836841574e+19
abilene,spin_direct,41002,uniform,internal,407449609158.0,2777003215444.0,386963,0.14672277183260485,0.2082212316514581,3.356104869975348e+18,7.740793836841574e+19
abilene,context_only,41001,uniform,internal,415683482215.0,2777003215444.0,386963,0.14968779290683631,0.2119462874830061,3.477259708667696e+18,7.740793836841574e+19
abilene,context_only,41002,uniform,internal,413511938743.0,2777003215444.0,386963,0.1489058192094624,0.21168423575821857,3.4686664127458437e+18,7.740793836841574e+19
abilene,direct_only,41001,uniform,internal,416847412612.0,2777003215444.0,386963,0.15010692472149426,0.20897905051314825,3.3805783373902464e+18,7.740793836841574e+19
abilene,direct_only,41002,uniform,internal,417086234710.5,2777003215444.0,386963,0.15019292465738623,0.2084792983879814,3.364429052292327e+18,7.740793836841574e+19
abilene,spin_direct,41001,unequal,boundary,186595621479.0,942314258543.5,132158,0.1980184633599983,0.2522386106561672,1.6418041307061432e+18,2.5804664249662206e+19
abilene,spin_direct,41002,unequal,boundary,186368434862.0,942314258543.5,132158,0.19777736903828955,0.24965816059838444,1.6083840054936812e+18,2.5804664249662206e+19
abilene,context_only,41001,unequal,boundary,190451901671.0,942314258543.5,132158,0.20211081382274146,0.2557788152815795,1.6882134488324342e+18,2.5804664249662206e+19
abilene,context_only,41002,unequal,boundary,189292924636.5,942314258543.5,132158,0.20088088758105285,0.25458861714205067,1.672538705679724e+18,2.5804664249662206e+19
abilene,direct_only,41001,unequal,boundary,194220996591.5,942314258543.5,132158,0.2061106417849393,0.2602969384131968,1.7483820244856837e+18,2.5804664249662206e+19
abilene,direct_only,41002,unequal,boundary,193804890762.5,942314258543.5,132158,0.20566906316588798,0.2587086981581554,1.7271110940877824e+18,2.5804664249662206e+19
abilene,spin_direct,41001,unequal,dense,197784455158.5,1443110547223.5,200736,0.1370542648579703,0.1872216273211811,1.3887740388445412e+18,3.962046404603919e+19
abilene,spin_direct,41002,unequal,dense,195048186102.0,1443110547223.5,200736,0.13515817376379563,0.1883276289888424,1.405230719661106e+18,3.962046404603919e+19
abilene,context_only,41001,unequal,dense,199783947855.0,1443110547223.5,200736,0.1384398085367598,0.18841572725624883,1.406545740174642e+18,3.962046404603919e+19
abilene,context_only,41002,unequal,dense,197948997689.5,1443110547223.5,200736,0.13716828421103827,0.18710934634726034,1.3871087809824748e+18,3.962046404603919e+19
abilene,direct_only,41001,unequal,dense,199845067872.5,1443110547223.5,200736,0.13848216150661202,0.1895329807007536,1.423276055448844e+18,3.962046404603919e+19
abilene,direct_only,41002,unequal,dense,200029747848.5,1443110547223.5,200736,0.1386101350539992,0.18931267665256768,1.4199692827090278e+18,3.962046404603919e+19
abilene,spin_direct,41001,unequal,internal,374612454592.0,2443084017819.0,340162,0.15333588687892347,0.21096305446934396,3.03279042087512e+18,6.814430867964268e+19
abilene,spin_direct,41002,unequal,internal,369764344374.5,2443084017819.0,340162,0.151351464655971,0.2093376789172569,2.9862378724136074e+18,6.814430867964268e+19
abilene,context_only,41001,unequal,internal,381393319772.0,2443084017819.0,340162,0.15611142187098379,0.21587860655545238,3.175768248298847e+18,6.814430867964268e+19
abilene,context_only,41002,unequal,internal,379018814069.0,2443084017819.0,340162,0.15513949225837892,0.21423199516445895,3.127506744181697e+18,6.814430867964268e+19
abilene,direct_only,41001,unequal,internal,377717876563.0,2443084017819.0,340162,0.15460699419588436,0.2119916208612397,3.0624357140601743e+18,6.814430867964268e+19
abilene,direct_only,41002,unequal,internal,377851178796.0,2443084017819.0,340162,0.1546615572940127,0.21194559606963562,3.061106108063509e+18,6.814430867964268e+19
abilene,spin_direct,41001,unequal,sparse,363423620912.5,1942287729139.0,271584,0.18711111410542797,0.2459280269673669,3.285820512736722e+18,5.4328508883265675e+19
abilene,spin_direct,41002,unequal,sparse,361084593134.5,1942287729139.0,271584,0.1859068498026118,0.24229251628989557,3.1893911582461824e+18,5.4328508883265675e+19
abilene,context_only,41001,unequal,sparse,372061273588.0,1942287729139.0,271584,0.19155826812175333,0.2522685897835109,3.457435956956638e+18,5.4328508883265675e+19
abilene,context_only,41002,unequal,sparse,370362741016.0,1942287729139.0,271584,0.19068376711630605,0.25063990775705297,3.412936668878947e+18,5.4328508883265675e+19
abilene,direct_only,41001,unequal,sparse,372093805282.0,1942287729139.0,271584,0.19157501728487267,0.24970568571618726,3.3875416830970163e+18,5.4328508883265675e+19
abilene,direct_only,41002,unequal,sparse,371626321710.0,1942287729139.0,271584,0.19133433019974794,0.24899357020019064,3.3682479194422636e+18,5.4328508883265675e+19
abilene,spin_direct,41001,unequal_gap,boundary,188622529322.5,948829428168.5,133958,0.1987949822410051,0.2510830244684697,1.6281013717521551e+18,2.582538112392962e+19
abilene,spin_direct,41002,unequal_gap,boundary,188051267765.0,948829428168.5,133958,0.19819291242683137,0.2484728835679763,1.5944273652803174e+18,2.582538112392962e+19
abilene,context_only,41001,unequal_gap,boundary,191960467538.0,948829428168.5,133958,0.20231293617076795,0.25412039117038815,1.667730110017882e+18,2.582538112392962e+19
abilene,context_only,41002,unequal_gap,boundary,190856781897.5,948829428168.5,133958,0.20114972853013816,0.2528355902149514,1.6509090700847268e+18,2.582538112392962e+19
abilene,direct_only,41001,unequal_gap,boundary,196137677214.5,948829428168.5,133958,0.20671542364901066,0.2591991776140547,1.7350579236891182e+18,2.582538112392962e+19
abilene,direct_only,41002,unequal_gap,boundary,195812642541.5,948829428168.5,133958,0.2063728597873191,0.25758505938826326,1.713515659924596e+18,2.582538112392962e+19
abilene,spin_direct,41001,unequal_gap,dense,203102053334.0,1442897463599.5,200736,0.1407598657962395,0.19077013908160853,1.443612156932457e+18,3.966703487543334e+19
abilene,spin_direct,41002,unequal_gap,dense,200715978781.0,1442897463599.5,200736,0.13910619697139617,0.19324584950988596,1.481324098367148e+18,3.966703487543334e+19
abilene,context_only,41001,unequal_gap,dense,205206236090.5,1442897463599.5,200736,0.1422181695285441,0.19196468944663023,1.4617477677646648e+18,3.966703487543334e+19
abilene,context_only,41002,unequal_gap,dense,203541224023.5,1442897463599.5,200736,0.1410642330160726,0.1932957451107514,1.4820891455652383e+18,3.966703487543334e+19
abilene,direct_only,41001,unequal_gap,dense,205160993897.0,1442897463599.5,200736,0.14218681442907147,0.1922567140979526,1.4661984932273644e+18,3.966703487543334e+19
abilene,direct_only,41002,unequal_gap,dense,205522185731.5,1442897463599.5,200736,0.14243713840815656,0.19332597530586126,1.4825527599870625e+18,3.966703487543334e+19
abilene,spin_direct,41001,unequal_gap,internal,379482472686.0,2436137635276.5,338362,0.15577218100935786,0.21456299479583368,3.13862092124256e+18,6.817563955631475e+19
abilene,spin_direct,41002,unequal_gap,internal,374690727525.5,2436137635276.5,338362,0.15380523747911018,0.21330298332262826,3.1018663403234427e+18,6.817563955631475e+19
abilene,context_only,41001,unequal_gap,internal,385865448120.0,2436137635276.5,338362,0.15839230203272342,0.21998649494223893,3.2992958519419095e+18,6.817563955631475e+19
abilene,context_only,41002,unequal_gap,internal,383334799032.5,2436137635276.5,338362,0.15735350642000642,0.2186325535855935,3.2588087619161825e+18,6.817563955631475e+19
abilene,direct_only,41001,unequal_gap,internal,382327732061.5,2436137635276.5,338362,0.1569401196899559,0.21495825586795633,3.150195306144734e+18,6.817563955631475e+19
abilene,direct_only,41002,unequal_gap,internal,382815094790.5,2436137635276.5,338362,0.15714017518843953,0.21579276654575053,3.174702152932937e+18,6.817563955631475e+19
abilene,spin_direct,41001,unequal_gap,outside_shared_gap,490498607344.5,2974042551991.0,413280,0.16492655998352518,0.22517562227532403,4.2065613365420375e+18,8.296300660354463e+19
abilene,spin_direct,41002,unequal_gap,outside_shared_gap,485617172793.0,2974042551991.0,413280,0.16328521341024496,0.2229677902509919,4.124475632400762e+18,8.296300660354463e+19
abilene,context_only,41001,unequal_gap,outside_shared_gap,499192835382.5,2974042551991.0,413280,0.16784993040812773,0.22927035178057192,4.360941665092755e+18,8.296300660354463e+19
abilene,context_only,41002,unequal_gap,outside_shared_gap,496050360328.5,2974042551991.0,413280,0.16679329621441177,0.2279978140759263,4.312666239695069e+18,8.296300660354463e+19
abilene,direct_only,41001,unequal_gap,outside_shared_gap,499299870389.0,2974042551991.0,413280,0.16788592014419537,0.22763193478582872,4.298835851105265e+18,8.296300660354463e+19
abilene,direct_only,41002,unequal_gap,outside_shared_gap,499207518908.5,2974042551991.0,413280,0.16785486763607366,0.22744022836188002,4.2915981370847217e+18,8.296300660354463e+19
abilene,spin_direct,41001,unequal_gap,shared_gap,77606394664.0,410924511454.0,59040,0.18885803231693438,0.22527393525118664,5.60160956452677e+17,1.1038014076699744e+19
abilene,spin_direct,41002,unequal_gap,shared_gap,77124822497.5,410924511454.0,59040,0.1876861086349033,0.22760587455880354,5.7181807320300045e+17,1.1038014076699744e+19
abilene,context_only,41001,unequal_gap,shared_gap,78633080275.5,410924511454.0,59040,0.19135650973281598,0.23432630490594503,6.060842968670388e+17,1.1038014076699744e+19
abilene,context_only,41002,unequal_gap,shared_gap,78141220601.5,410924511454.0,59040,0.19015955102071672,0.23257362319419622,5.970515923058409e+17,1.1038014076699744e+19
abilene,direct_only,41001,unequal_gap,shared_gap,79165538887.0,410924511454.0,59040,0.19265226746120256,0.23049310818011434,5.864173787285868e+17,1.1038014076699744e+19
abilene,direct_only,41002,unequal_gap,shared_gap,79420218423.5,410924511454.0,59040,0.19327203953466404,0.2324894842620801,5.966196757728106e+17,1.1038014076699744e+19
abilene,spin_direct,41001,unequal_gap,sparse,365002948674.5,1942069599845.5,271584,0.1879453489738666,0.24730710015323087,3.323110136062259e+18,5.4333985804811e+19
abilene,spin_direct,41002,unequal_gap,sparse,362026016509.5,1942069599845.5,271584,0.18641248312537342,0.24324989045327086,3.214969607236612e+18,5.4333985804811e+19
abilene,context_only,41001,unequal_gap,sparse,372619679567.5,1942069599845.5,271584,0.19186731494954842,0.25399517292688345,3.5052781941951293e+18,5.4333985804811e+19
abilene,context_only,41002,unequal_gap,sparse,370650356906.5,1942069599845.5,271584,0.19085328195034146,0.25116614618073946,3.4276286864356716e+18,5.4333985804811e+19
abilene,direct_only,41001,unequal_gap,sparse,373304415379.0,1942069599845.5,271584,0.19221989541914355,0.25085181307830307,3.419054736606487e+18,5.4333985804811e+19
abilene,direct_only,41002,unequal_gap,sparse,373105551600.5,1942069599845.5,271584,0.19211749755527924,0.2503601389738863,3.4056650528704707e+18,5.4333985804811e+19
geant,spin_direct,41001,uniform,boundary,1425.2920950728749,7504.696806819586,83478,0.18992001032975764,0.2699916203148944,986.1100196225726,13527.726091062832
geant,spin_direct,41002,uniform,boundary,1411.031898131704,7504.696806819586,83478,0.18801984070155728,0.2712181355158668,995.0897511550166,13527.726091062832
geant,context_only,41001,uniform,boundary,1419.2115119181522,7504.696806819586,83478,0.18910977331269424,0.2718423115025153,999.6751807569444,13527.726091062832
geant,context_only,41002,uniform,boundary,1422.9493649756678,7504.696806819586,83478,0.18960784180949466,0.27203931158195377,1001.1246052211519,13527.726091062832
geant,direct_only,41001,uniform,boundary,1482.5816969651687,7504.696806819586,83478,0.1975538432968982,0.27454315913139754,1019.6380989457691,13527.726091062832
geant,direct_only,41002,uniform,boundary,1509.3439164204783,7504.696806819586,83478,0.20111990600991686,0.2764502607992507,1033.8530398819921,13527.726091062832
geant,spin_direct,41001,uniform,internal,5178.756317352676,35811.05569397347,378522,0.14461333845079002,0.19592033366256015,2626.7150096210753,68431.16477850401
geant,spin_direct,41002,uniform,internal,5154.399204843698,35811.05569397347,378522,0.14393318222425697,0.1956683723330056,2619.963234309147,68431.16477850401
geant,context_only,41001,uniform,internal,5276.452963355025,35811.05569397347,378522,0.14734145255156447,0.19817487092764915,2687.5162586115443,68431.16477850401
geant,context_only,41002,uniform,internal,5348.153108553709,35811.05569397347,378522,0.1493436315940201,0.20129424849333902,2772.787991523153,68431.16477850401
geant,direct_only,41001,uniform,internal,5308.510410543412,35811.05569397347,378522,0.14823663552138075,0.2007015816861573,2756.484294901779,68431.16477850401
geant,direct_only,41002,uniform,internal,5480.661349839566,35811.05569397347,378522,0.1530438364251264,0.2027648328788804,2813.4499932789918,68431.16477850401
geant,spin_direct,41001,unequal,boundary,2667.9781360795223,12047.73582866149,129320,0.221450584078414,0.30657498254683574,2118.2146503823415,22537.022747152103
geant,spin_direct,41002,unequal,boundary,2655.597335003834,12047.73582866149,129320,0.2204229386144228,0.31307791213905145,2209.0289165112167,22537.022747152103
geant,context_only,41001,unequal,boundary,2648.693009840392,12047.73582866149,129320,0.2198498578910709,0.3004629289622602,2034.5967013319898,22537.022747152103
geant,context_only,41002,unequal,boundary,2658.3292815676023,12047.73582866149,129320,0.2206496987793717,0.3021604004774961,2057.65063179367,22537.022747152103
geant,direct_only,41001,unequal,boundary,2747.345517619611,12047.73582866149,129320,0.22803832659442058,0.30114846304080395,2043.8915354459139,22537.022747152103
geant,direct_only,41002,unequal,boundary,2776.998234517292,12047.73582866149,129320,0.23049959544355464,0.30273545390848455,2065.4900773816025,22537.022747152103
geant,spin_direct,41001,unequal,dense,2555.907961298505,18848.702256278106,196350,0.13560126986711704,0.17324528541724477,1051.8472594602931,35045.303875022764
geant,spin_direct,41002,unequal,dense,2534.796112698149,18848.702256278106,196350,0.13448120078685322,0.17098628001313454,1024.5952963871694,35045.303875022764
geant,context_only,41001,unequal,dense,2612.8777960276393,18848.702256278106,196350,0.1386237503516904,0.1775445752409332,1104.7007391124273,35045.303875022764
geant,context_only,41002,unequal,dense,2662.2787689047445,18848.702256278106,196350,0.1412446720578864,0.17859651427823198,1117.8300667177405,35045.303875022764
geant,direct_only,41001,unequal,dense,2594.2693070347623,18848.702256278106,196350,0.13763649463828023,0.1769054460529399,1096.7615986015512,35045.303875022764
geant,direct_only,41002,unequal,dense,2664.5658879880957,18848.702256278106,196350,0.1413660129890685,0.17817288124832428,1112.5333440215982,35045.303875022764
geant,spin_direct,41001,unequal,internal,4703.713212348946,31080.271226978726,332680,0.1513408032380993,0.20803399387528046,2562.847096825415,59218.04731909688
