dataset,budget,variant,seed,best_epoch,condition,nmae,nrmse
geant,120,spin_direct,41001,119,uniform,0.15491020361566,0.21154172990180742
geant,120,spin_direct,41001,119,unequal,0.17334142906880584,0.24004786731570457
geant,120,spin_direct,41001,119,unequal_gap,0.17477711484282626,0.23796369107424145
geant,160,spin_direct,41001,153,uniform,0.15246297319444332,0.20995461641992283
geant,160,spin_direct,41001,153,unequal,0.17092585193927723,0.2392846487252855
geant,160,spin_direct,41001,153,unequal_gap,0.17223429276135122,0.23677611647133978
geant,120,spin_direct,41002,113,uniform,0.15344054994113634,0.21221252084962486
geant,120,spin_direct,41002,113,unequal,0.17213707881418303,0.24318039499880817
geant,120,spin_direct,41002,113,unequal_gap,0.1738190388001841,0.24219026743682737
geant,160,spin_direct,41002,153,uniform,0.15157144281067728,0.21001934382798854
geant,160,spin_direct,41002,153,unequal,0.17000946289692323,0.2416389701519687
geant,160,spin_direct,41002,153,unequal_gap,0.1716562338036032,0.24072831526930957
geant,120,context_only,41001,107,uniform,0.1581137573997589,0.2178486460407379
geant,120,context_only,41001,107,unequal,0.17575342527441776,0.24375349349722505
geant,120,context_only,41001,107,unequal_gap,0.17776705979456456,0.2426931909488739
geant,160,context_only,41001,148,uniform,0.1545780481396598,0.21210446314332865
geant,160,context_only,41001,148,unequal,0.17318769311660398,0.24114075023333373
geant,160,context_only,41001,148,unequal_gap,0.17471112219655952,0.23910689447374048
geant,120,context_only,41002,100,uniform,0.15645756157906024,0.21228559871093358
geant,120,context_only,41002,100,unequal,0.17606992948258648,0.2430391816899596
geant,120,context_only,41002,100,unequal_gap,0.1780067924595124,0.24201391452301876
geant,160,context_only,41002,156,uniform,0.15631963160296958,0.2145842697781767
geant,160,context_only,41002,156,unequal,0.17527834090005134,0.2437670460344926
geant,160,context_only,41002,156,unequal_gap,0.17688911235920274,0.24221461382106693
geant,120,direct_only,41001,116,uniform,0.15839332555188881,0.21537641254926382
geant,120,direct_only,41001,116,unequal,0.17679300568551207,0.23927466682020485
geant,120,direct_only,41001,116,unequal_gap,0.17858616561440857,0.23704041465617975
geant,160,direct_only,41001,152,uniform,0.1567811180790233,0.2146470849986295
geant,160,direct_only,41001,152,unequal,0.17529949876657203,0.23841830735976433
geant,160,direct_only,41001,152,unequal_gap,0.17721691527505506,0.2361205079670849
geant,120,direct_only,41002,95,uniform,0.16343208966033604,0.2176294898915633
geant,120,direct_only,41002,95,unequal,0.18244229236788143,0.24373961625338741
geant,120,direct_only,41002,95,unequal_gap,0.18489475792475737,0.2419154634795387
geant,160,direct_only,41002,156,uniform,0.161373284837475,0.2166607095835138
geant,160,direct_only,41002,156,unequal,0.18011860818612385,0.2409351319902144
geant,160,direct_only,41002,156,unequal_gap,0.1826848018719444,0.23980607440701643
