dataset,budget,variant,seed,best_epoch,condition,nmae,nrmse
abilene,120,spin_direct,41001,118,uniform,0.15412177349512657,0.21119389483959247
abilene,120,spin_direct,41001,118,unequal,0.16707871901079505,0.223727199373343
abilene,120,spin_direct,41001,118,unequal_gap,0.16909811383436535,0.2259484801636048
abilene,160,spin_direct,41001,158,uniform,0.152949451019739,0.21051789932885367
abilene,160,spin_direct,41001,158,unequal,0.16577313221592344,0.2230621870221066
abilene,160,spin_direct,41001,158,unequal_gap,0.16783176656091878,0.22518716884230017
abilene,120,spin_direct,41002,120,uniform,0.15191929975996274,0.21196033069591466
abilene,120,spin_direct,41002,120,unequal,0.16501820086815713,0.22224547969430727
abilene,120,spin_direct,41002,120,unequal_gap,0.16697786149601743,0.22467448352394856
abilene,160,spin_direct,41002,158,uniform,0.1510720237118233,0.20996915791775542
abilene,160,spin_direct,41002,158,unequal,0.16427395946867632,0.2211458886558156
abilene,160,spin_direct,41002,158,unequal_gap,0.16624740647188976,0.2235174016831918
abilene,120,context_only,41001,109,uniform,0.15514837864139835,0.2174530337263933
abilene,120,context_only,41001,109,unequal,0.17032126822388047,0.2305334215988451
abilene,120,context_only,41001,109,unequal_gap,0.17226296072318473,0.23331462409183182
abilene,160,context_only,41001,160,uniform,0.1540188521314644,0.2135897551300415
abilene,160,context_only,41001,160,unequal,0.16891519837879432,0.22753591020683586
abilene,160,context_only,41001,160,unequal_gap,0.17070355629101047,0.2298698065623018
abilene,120,context_only,41002,112,uniform,0.15419480305121402,0.2243298181827951
abilene,120,context_only,41002,112,unequal,0.16893215275928797,0.23702067364534782
abilene,120,context_only,41002,112,unequal_gap,0.1706890518064528,0.23878470788932665
abilene,160,context_only,41002,144,uniform,0.15317947955245703,0.21291614125789068
abilene,160,context_only,41002,144,unequal,0.1678714562695803,0.22603550199911038
abilene,160,context_only,41002,144,unequal_gap,0.16962988713562993,0.22853987317706867
abilene,120,direct_only,41001,101,uniform,0.15591718310305486,0.21381757414033328
abilene,120,direct_only,41001,101,unequal,0.1695516416283357,0.22704035904329264
abilene,120,direct_only,41001,101,unequal_gap,0.17150964552285755,0.22880293688957032
abilene,160,direct_only,41001,158,uniform,0.15521901548824135,0.21185686213972144
abilene,160,direct_only,41001,158,unequal,0.16894286180384946,0.22628899492137428
abilene,160,direct_only,41001,158,unequal_gap,0.17089247795731147,0.22796976714594966
abilene,120,direct_only,41002,104,uniform,0.15604112454414334,0.21266904953804627
abilene,120,direct_only,41002,104,unequal,0.16976267988400814,0.22667186630059727
abilene,120,direct_only,41002,104,unequal_gap,0.17183246303275315,0.22892593562595437
abilene,160,direct_only,41002,160,uniform,0.15521058830205572,0.2113057886441249
abilene,160,direct_only,41002,160,unequal,0.16885932551862873,0.22575683244903405
abilene,160,direct_only,41002,160,unequal_gap,0.1709404335364818,0.22803892761413583
